"State","Density","Pop","LandArea"
"New Jersey","1206.7609","8874520","7354"
"Rhode Island","1026.6044","1061509","1034"
"Massachusetts","886.1845","6912239","7800"
"Connecticut","733.7507","3552821","4842"
"Maryland","624.8518","6065436","9707"
"Delaware","508.1242","990334","1949"
"New York","409.5400","19299981","47126"
"Florida","409.2229","21944577","53625"
"Ohio","286.6944","11714618","40861"
"Pennsylvania","286.1704","12804123","44743"
"California","254.2929","39613493","155779"
"Illinois","226.3967","12569321","55519"
"North Carolina","220.1041","10701022","48618"
"Hawaii","218.9678","1406430","6423"
"Virginia","217.8776","8603985","39490"
"Indiana","189.9644","6805663","35826"
"Georgia","188.3054","10830007","57513"
"Michigan","176.7351","9992427","56539"
"South Carolina","175.5707","5277830","30061"
"Tennessee","168.4069","6944260","41235"
"New Hampshire","153.2674","1372203","8953"
"Washington","117.3249","7796941","66456"
"Texas","113.8081","29730311","261232"
"Kentucky","113.4760","4480713","39486"
"Wisconsin","108.0633","5852490","54158"
"Louisiana","107.0966","4627002","43204"
"Alabama","97.4271","4934193","50645"
"Missouri","89.7419","6169038","68742"
"West Virginia","73.5443","1767859","24038"
"Minnesota","71.6641","5706398","79627"
"Vermont","67.6197","623251","9217"
"Arizona","66.2016","7520103","113594"
"Mississippi","63.2186","2966407","46923"
"Arkansas","58.3059","3033946","52035"
"Oklahoma","58.1740","3990443","68595"
"Colorado","56.8653","5893634","103642"
"Iowa","56.7158","3167974","55857"
"Oregon","44.6872","4289439","95988"
"Maine","43.9167","1354522","30843"
"Utah","40.2918","3310774","82170"
"Kansas","35.6808","2917224","81759"
"Nevada","29.0195","3185786","109781"
"Nebraska","25.4087","1951996","76824"
"Idaho","22.5079","1860123","82643"
"New Mexico","17.3540","2105005","121298"
"South Dakota","11.8265","896581","75811"
"North Dakota","11.1596","770026","69001"
"Montana","7.4547","1085004","145546"
"Wyoming","5.9847","581075","97093"
"Alaska","1.2694","724357","570641"